text,total
｡,3
・,161
–,4422
—,1206
…,3403
“,8137
”,8074
’,3678
𝔏𝔞𝔪mapleleaf,8
➔,27
​,818
😅,34
😂,41
😉,47
😆,13
😄,92
✓,41
：,94
（,254
）,261
「,408
」,404
朝活,1
〜,13
※,61
sバケット,1
①,31
②,32
😀,60
⚡,12
💻,1
😁,35
👍,56
😎,32
💌,8
😢,5
,279
‘,1330
◆,12
🧹,1
😊,20
🎉,20
→,672
💙,3
💜,5
🍀,1
【,49
】,51
▼,13
③,21
″,13
④,14
⑤,10
⑥,6
💦,2
⇢,2
😳,2
⭐,14
️,121
🧡,11
⁠,10
👿,1
😛,27
😍,20
↳,12
∞,8
ü,4
⇧,68
⌘,177
、,477
。,527
•,913
på,1
車,1
これは車です,1
😃,74
v₀,4
²,2
¹⁰⁰⁰k,1
𝑣,2
𝑣ₒ,1
d¹⁰⁰⁰t,1
ε,3
®,58
≥,65
φ,12
αφ,1
βφ,1
γφ,1
α,22
·,119
β,15
γ,13
≈,11
×,211
θ,33
←,24
一つのvpc内でどのsubnetがインターネットにアクセス出来るのを許可する,1
二つのsubnetの連携を定義するなど自分で設定出来る,1
上のイメージで以下に設定されている,1
subnetがinternet,1
gateway経由でinternetアクセス出来る,1
その他にroute,1
table設定によってsubnetはsubnetとsubnetにも繋げている,1
subnetはprivate,1
internetに接続出来ない,2
vpc内subnetとsubnetに繋げる,1
subnetもprivate,1
でも,3
gateway経由でcustomerからアクセス出来る,1
逆にsubnet,1
内のinstanceからcustomerのnetworkにもアクセス出来る,1
作成手順概要,1
vpc作成,1
subnet作成,2
どのvpcに属するかを指定,2
gateway作成,1
どのvpcに属するかをアタッチ,1
routetable作成,2
どのsubnetに属するかをアタッチ,1
instance作成,2
どのvpcとsubnetに属するかを指定,1
の中で作成している時に指定する,1
は作成してから別画面にてアタッチするという意味です,1
作成手順詳細,1
vpcを作成,1
必要な情報,2
名前タグ,4
vpc名,1
ブロック,2
の,4
アドレス範囲を指定,2
subnetを作成,1
subnet名,1
どのvpcに所属するかを指定,1
vpcを選択したら選択されたvpcに該当する情報が自動的に,1
所に表示される,1
アベイラビリティーゾーン,1
どこazに所属するかを指定,1
regionによって選択しているregion内に該当するazが自動的に表示される,1
自動的に選択するには,1
指定なし,1
を選択する,2
vpcのipに存在しないipを指定する場合にはメッセージエーラが出る,1
gateway作成とアタッチ,1
作成,4
にgateway名を入力し,1
インターネットゲートウェイの作成,1
ボタンを押下する,5
アタッチ,4
dashboard画面にてinternetgatewayをチェックし,1
アクション,4
ボタンを押下し,2
vpcにアタッチ,1
をクリックしアタッチしたいvpcを選択する,1
編集,2
にroutetable名を入力しvpcを選択し,1
dashboard画面にてroutetableをチェックし,1
サブネットの関連付けの編集,2
画面にて選択したvpcのsubnetが全部表示される,1
routetableをアタッチしたいsubnetを選択し,1
保存,1
dashboard画面にて,1
ルートテーブル,1
チェックし,1
ルート,1
タグ下に,1
ルート編集,1
①デフォルトにlocalの送信先はrouterにする,1
②gatewayにするには②通りに設定する,1
ec作成手順はに参考してください,1
ステップ３でどのvpcとsubnetに属するかを指定する,1
参考資料,5
vpcに関連するcoreserviceについて概要的に紹介されていただく,1
以下の写真にはvpcのメイン機能を順番に説明する,1
cloudは自分,1
で定義できる仮想,1
virtualクラウド,1
cloudという意味です,1
ip帯を選択するから,1
gateway定義,1
安全性及びデータベースにアクセスためにipvとipv利用するまで自分で決定する環境を作成できる,1
vpcの設定も更新できる,1
他のvpcからアクセスpublic,1
subnetも作成できる,1
逆にインターネットをアクセスしないprivateのサーバーとデータベースも作成できる,1
安セキュリティを強化ためにroute,1
gatewayによってセキュリティのレイアを追加できる,1
管理しやすいのためにvpcをsubnetに仕切る,1
一つのsubnetに複数のinstanceがあることが出来る,1
通常はpublicとprivateに分ける,1
publicはinternetにアクセスするserviceに向け,1
むしろprivateはinternetにアクセス不要のservice,1
例,6
データベース,1
詳しくはに参考してください,1
vpcはgateway経由にinternetに繋がる,1
route提供するによってinternetに繋げるのを許可する,1
gatewayによってinstanceがinternetに繋げる,1
かつ外のresouceもこのinstanceにアクセスできるようになる,1
簡単というとtableを見てからrouteをわかるようになる,1
例えばsubnetaからsubnetbまで行ける,1
subnetcは外のインターネットにアクセスできる,1
一つのsubnetは一つのroute,1
tableに繋げるけど,1
一つのroute,1
tableは複数のsubnetに紐づくできる,1
インスタンスとは,1
クラウドにある仮想サーバーです,1
ecを作成仕方についてを参考してください,1
に紹介されたサービスの一つはsubnetです,1
subnetからinternetにデータを送信するためのprotocolの一つはtcpipです,1
この記事でtcpip,1
protocolの成分,1
internetに繋げる仕組みについて説明する,1
protocolを利用中のコンピューターに付けるip帯です,1
ipvとipv二つの種類に分ける,1
ビット数,1
ビット,4
●,68
なら省ける,1
ipvに対して桁で表示する,1
userが読みやすくなる為に桁ごとにで分けて書く,1
addressがabcdeのつのクラスに分けている,1
最初のビットによってどのクラスに所属するか判断する,1
aクラスの最初ビットは０,1
bクラスは,1
cクラスは,1
dクラスの最初ビットは,1
eクラスは,1
それから,2
上のイメージでのip,1
addressはクラスcに属している,1
現在点にはabクラスのip,1
adrressが使い切られた,1
cはまだ少し残っている,1
dとeは別目的の為に使っている,1
上で説明したip,1
address量に対して規模が広いインターネットシステムではすぐ使い切る状態になっているけど,1
会社内など規模が小さいシステムにとってこのip,1
address量を使い切るのは無理です,1
更にシステム内コンピューターを管理するのは問題が発生する可能性がある,1
ipを子ipに分ける為にsubnet,1
maskを使う,1
ipvでsubnetmaskを書き方は二つがあります,1
addressを判断するように左からビット数を書く,1
この方法ではipの末尾に定義しで分ける,1
とはがip,1
はシステム内に他ipを確定するビット数,1
左からビットがのは,1
がからまでのようなipが同じシステムに属するという意味です,1
他のipはに属しないことになる,1
桁数でipのインターネットシステムを確定する為にビットを宣言する,1
いつも,1
又は,1
という形に定義される,1
後でこのビットの桁からdecimal桁に交換する,1
又はbinary,1
のは最初のビットがインターネットシステムのipを確定する,1
