text,total
cài,3565
trải,3444
nghiệm,2878
đăng,1102
chứa,11991
tải,8939
nhập,6063
tắt,2983
khóa,7509
giả,1507
lập,2795
đóng,2540
tất,344
máy,5856
ảo,2382
giải,1150
nén,1412
chạy,31927
quyền,5506
biến,15437
đấy,2781
hình,6206
đoạn,13794
chữ,2735
dòng,10622
đuôi,423
lưu,9537
hệ,4376
đứng,1092
hơi,1749
vội,121
đầu,5795
tốn,2429
tầm,1164
mấy,1399
chục,403
khởi,9125
bấm,1320
nút,4656
xóa,3959
chờ,1773
chỗ,2494
thể,1035
toàn,1305
chuột,1571
trái,2067
ấn,1050
nhấn,2302
tùy,3578
phép,19146
cũ,3155
mô,231
phỏnggiả,4
viết,48062
trở,1749
mã,13215
mẫu,3526
chuỗi,8315
lệnh,14314
gọi,28367
phiếu,81
hàng,7569
kiểu,13189
giúp,21290
giá,1407
trịthuộc,1
hàm,28207
môđun,1204
tệp,5172
lớp,11047
nản,53
gốc,3107
chủ,976
hiện,4295
cạnh,2245
trừ,1252
gán,4107
thành,12969
khái,125
báo,1890
dấu,4000
xảy,7787
khối,2818
gọn,1165
tuỳ,1210
chỉnh,961
ẩn,1575
lồng,1071
chẳng,1276
quên,1693
sâu,1863
trường,6042
chào,2052
hoàng,72
hôm,412
câu,10450
khuyên,1226
nâng,2171
dỗi,22
góc,1244
đặc,121
độ,8656
nhãng,12
vịt,81
tưởng,359
ngờ,98
phủ,122
kín,66
lạ,424
tuyệt,460
chậm,2041
đi,15388
kết,2241
hơp,59
chất,145
lương,461
đổi,2268
bảo,551
đợi,2030
tí,411
rảnh,141
tiếc,187
cặp,1891
nguời,56
phực,11
tạp,108
túm,95
đừng,3023
hạ,126
lái,106
lỗi,20061
quẩy,32
định,1230
hướng,6427
lắm,1666
nghỉ,321
chút,2113
cốc,78
liệu,2080
xấu,881
thử,9347
đọc,14807
kiển,56
dạo,242
đỡ,456
rộng,1683
hề,1140
hẳn,1051
điện,425
tiện,897
sẵn,7564
xuất,2248
giết,77
nhầm,483
sót,222
dựa,11354
học,8400
sườn,24
đống,644
góp,48
đa,1419
phân,1763
lịch,962
dựng,914
luồng,3455
hóa,1883
động,2101
gói,3303
đường,2920
nàyhầu,1
mạng,7435
naymình,2
tiêncác,1
screenđiền,1
bảng,9183
nàymình,13
mùa,165
quýt,9
đề,603
ωゞcẩn,1
thận,28
ước,68
bé,309
tích,532
lọc,1789
bớt,782
nhắn,1814
gửi,12731
nhảy,529
phút,1590
thỏ,73
rơi,526
xì,20
nằm,4613
nhân,1109
bậc,460
ký,498
sửa,5044
cộng,1066
đôi,941
lõi,229
sốbitcủak,1
kèo,24
đơn,1740
nhắc,1468
dư,180
đằng,691
tiếng,2584
rút,872
cộngnhân,1
gộp,660
hiệu,239
tán,38
công,433
trộn,250
lẫn,840
nốt,233
gạch,506
nghìn,415
cố,500
trông,2430
nắm,1858
khớp,1897
chéo,372
ngược,733
mảng,9231
cờ,443
trắng,1319
ngoặc,646
nhọn,318
ví,772
ôn,103
kéo,1589
đắng,31
dịch,3263
đệ,545
lược,608
đồ,869
mẹ,180
trị,526
dãy,562
chạm,514
đáy,69
cột,4354
mốc,338
chèn,1458
đậm,227
ô,1632
tô,227
nhạt,70
vòng,5311
lặp,3398
nét,326
